it,temp,actualQ,bestQ,p
5670000,21.556,4148.36,4340.14,0.01
5680000,21.4988,4150.36,4340.14,0.4
5690000,21.4416,4158.36,4340.14,0.01
5700000,21.3843,4157.36,4340.14,0
5710000,21.3271,4159.36,4340.14,0
5720000,21.2699,4155.36,4340.14,0
5730000,21.2127,4160.36,4340.14,0.1
5740000,21.1555,4152.36,4340.14,0.01
5750000,21.0982,4162.65,4340.14,0.01
5760000,21.041,4166.65,4340.14,0
5770000,20.9838,4168.65,4340.14,0.01
5780000,20.9266,4165.65,4340.14,0
5790000,20.8694,4169.65,4340.14,0.01
5800000,20.8121,4167.65,4340.14,0.01
5810000,20.7549,4164.65,4340.14,1
5820000,20.6977,4160.65,4340.14,0.01
5830000,20.6405,4158.65,4340.14,0.03
5840000,20.5833,4166.65,4340.14,0.01
5850000,20.526,4166.65,4340.14,0.01
5860000,20.4688,4160.36,4340.14,0.01
5870000,20.4116,4151.36,4340.14,0
5880000,20.3544,4167.65,4340.14,0.01
5890000,20.2972,4159.65,4340.14,0.01
5900000,20.2399,4165.65,4340.14,0.01
5910000,20.1827,4165.65,4340.14,0.01
5920000,20.1255,4165.65,4340.14,0.01
5930000,20.0683,4158.65,4340.14,0.01
5940000,20.011,4164.65,4340.14,0.01
5950000,19.9692,4165.65,4340.14,0.01
5960000,19.9311,4166.65,4340.14,0
5970000,19.8929,4161.65,4340.14,0
5980000,19.8548,4167.65,4340.14,0.01
5990000,19.8166,4159.65,4340.14,0.01
6000000,19.7785,4159.65,4340.14,0
6010000,19.7403,4168.65,4340.14,0
6020000,19.7022,4165.65,4340.14,1
6030000,19.664,4165.65,4340.14,0
6040000,19.6259,4167.65,4340.14,0.01
6050000,19.5877,4164.65,4340.14,0.02
6060000,19.5496,4161.65,4340.14,0.01
6070000,19.5115,4166.65,4340.14,0
6080000,19.4733,4160.65,4340.14,1
6090000,19.4352,4166.65,4340.14,0.01
6100000,19.397,4160.65,4340.14,0
6110000,19.3589,4165.65,4340.14,1
6120000,19.3207,4163.65,4340.14,0.01
6130000,19.2826,4165.65,4340.14,0.13
6140000,19.2444,4157.36,4340.14,0.01
6150000,19.2063,4166.65,4340.14,1
6160000,19.1681,4158.65,4340.14,0.02
6170000,19.13,4164.65,4340.14,0.01
6180000,19.0918,4165.65,4340.14,0.01
6190000,19.0537,4162.65,4340.14,0.02
6200000,19.0155,4167.65,4340.14,0.01
6210000,18.9774,4167.65,4340.14,0.01
6220000,18.9393,4167.65,4340.14,0.01
